"naptan_id","name","line_ids","modes"
"9100KEWGRDN0","Kew Gardens Station","mildmay","overground"
"9100KEWGRDN1","Kew Gardens Station","mildmay","overground"
"940GZZLUKBN","Kilburn","jubilee","tube"
"910GKLBRNHR","Kilburn High Road","lioness","overground"
"9100KLBRNHR1","Kilburn High Road Station","lioness","overground"
"9100KLBRNHR2","Kilburn High Road Station","lioness","overground"
"940GZZLUKPK","Kilburn Park","bakerloo","tube"
"9400ZZLUKPK2","Kilburn Park Station","bakerloo","tube"
"940GZZDLKGV","King George V","dlr","dlr"
"9400ZZDLKGV2","King George V.","dlr","dlr"
"HUBKGX","King's Cross & St Pancras International","17,205,214,259,30,390,46,476,63,73,91,circle,east-midlands-railway,grand-central,great-northern,hammersmith-city,hull-trains,london-north-eastern-railway,lumo,metropolitan,n205,n63,n73,n91,northern,piccadilly,southeastern,thameslink,victoria","bus,international-rail,national-rail,tube"
"9400ZZLUKSX8","King's Cross St. Pancras","circle,hammersmith-city,metropolitan","tube"
"940GZZLUKSX","King's Cross St. Pancras","circle,hammersmith-city,metropolitan,northern,piccadilly,victoria","tube"
"940GZZLUKBY","Kingsbury","jubilee","tube"
"940GZZLUKNB","Knightsbridge","137,19,22,452,c1,n137,n19,n22,piccadilly","bus,tube"
"940GZZLULAD","Ladbroke Grove","circle,hammersmith-city","tube"
"9400ZZLULBN2","Lambeth North","bakerloo","tube"
"940GZZLULBN","Lambeth North","bakerloo","tube"
"940GZZLULGT","Lancaster Gate","central","tube"
"9400ZZLULGT2","Lancaster Gate Station","central","tube"
"940GZZDLLDP","Langdon Park","dlr","dlr"
"9100LANGLEY0","Langley (Berks)","elizabeth","elizabeth-line"
"910GLANGLEY","Langley (Berks)","elizabeth,great-western-railway","elizabeth-line,national-rail"
"940GZZLULRD","Latimer Road","circle,hammersmith-city","tube"
"940GZZLULSQ","Leicester Square","northern,piccadilly","tube"
"940GZZDLLEW","Lewisham","dlr","dlr"
"HUBLEW","Lewisham","dlr,southeastern,thameslink","bus,dlr,national-rail"
"940GZZLULYN","Leyton","central","tube"
"910GLEYTNMR","Leyton Midland Road","suffragette","overground"
"9100LEYTNMR0","Leyton Midland Road Station","suffragette","overground"
"9100LEYTNMR1","Leyton Midland Road Station","suffragette","overground"
"940GZZLULYS","Leytonstone","central","tube"
"910GLYTNSHR","Leytonstone High Road","suffragette","overground"
"9100LYTNSHR0","Leytonstone High Road Station","suffragette","overground"
"9100LYTNSHR1","Leytonstone High Road Station","suffragette","overground"
"940GZZDLLIM","Limehouse","dlr","dlr"
"HUBLHS","Limehouse","c2c,dlr","bus,dlr,national-rail"
"910GLIVSTLL","Liverpool Street","elizabeth","elizabeth-line"
"940GZZLULVT","Liverpool Street","central,circle,hammersmith-city,metropolitan","tube"
"HUBLST","Liverpool Street","c2c,central,circle,elizabeth,greater-anglia,hammersmith-city,metropolitan,weaver","bus,elizabeth-line,national-rail,overground,tube"
"9100LIVST0","Liverpool Street Station","c2c,elizabeth,greater-anglia,weaver","elizabeth-line,national-rail,overground"
"9100LIVSTLL0","Liverpool Street Station","elizabeth","elizabeth-line"
"9100LIVSTLL1","Liverpool Street Station","elizabeth","elizabeth-line"
"940GZZLULNB","London Bridge","jubilee,northern","tube"
"HUBLBG","London Bridge","133,141,149,17,21,344,35,388,43,47,jubilee,n133,n199,n21,n343,northern,southeastern,southern,thameslink","bus,national-rail,tube"
"9400ZZLULNB3","London Bridge Station","jubilee","tube"
"9400ZZLULNB4","London Bridge Station","northern","tube"
"9400ZZDLLCA2","London City Airport","dlr","dlr"
"940GZZDLLCA","London City Airport","dlr","dlr"
"HUBLCY","London City Airport","dlr","bus,dlr,plane"
